iter	RMSE
0	40.71333147
1	39.43893241
2	38.13028147
3	36.95246731
4	35.70406998
5	34.52921928
6	33.38508135
7	32.24608019
8	31.24108524
9	30.21144981
10	29.25250732
11	28.2613421
12	27.42414932
13	26.51525708
14	25.72787876
15	24.8732308
16	24.12523578
17	23.3963471
18	22.62768931
19	21.89850727
20	21.20274427
21	20.52020626
22	19.88398313
23	19.28219971
24	18.69946162
25	18.09477622
26	17.55847764
27	16.99333067
28	16.49245547
29	15.97248773
30	15.47790772
31	14.97604328
32	14.54221885
33	14.09007439
34	13.63444221
35	13.22922548
36	12.86114708
37	12.47364439
38	12.11610356
39	11.77599513
40	11.44610423
41	11.08613328
42	10.7471787
43	10.4213493
44	10.11665658
45	9.832926989
46	9.546003318
47	9.260554347
48	8.991992393
49	8.736034157
50	8.492374128
51	8.246944414
52	7.996926628
53	7.776407561
54	7.553237691
55	7.346529733
56	7.142109262
57	6.944556396
58	6.752923481
59	6.563270541
60	6.372361706
61	6.203789207
62	6.052923806
63	5.896220599
64	5.748308398
65	5.597827115
66	5.458082548
67	5.304243103
68	5.155595531
69	5.019871263
70	4.887736638
71	4.774963881
72	4.66045787
73	4.538314655
74	4.431086984
75	4.320475629
76	4.209603134
77	4.122054809
78	4.036654334
79	3.955306157
80	3.869393977
81	3.791865103
82	3.70668343
83	3.629257219
84	3.555144057
85	3.478749016
86	3.413725129
87	3.343437763
88	3.275660994
89	3.20393641
90	3.140089974
91	3.087607302
92	3.031293406
93	2.977226523
94	2.920314683
95	2.875179135
96	2.820494316
97	2.77569101
98	2.726607129
99	2.67966792
100	2.631078156
101	2.590036887
102	2.548338165
103	2.512974162
104	2.48137794
105	2.447419349
106	2.411107328
107	2.374572891
108	2.340940844
109	2.311029058
110	2.284281082
111	2.256444817
112	2.231681147
113	2.205046791
114	2.178190562
115	2.152781361
116	2.127896782
117	2.114096225
118	2.093274077
119	2.071160813
120	2.063386381
121	2.042032018
122	2.020764299
123	2.004084995
124	1.997506708
125	1.981453251
126	1.964071746
127	1.954726277
128	1.939623705
129	1.928532906
130	1.912017278
131	1.902593823
132	1.897771946
133	1.888319176
134	1.883330506
135	1.868275109
136	1.860907608
137	1.852488305
138	1.847459897
139	1.842203429
140	1.837406263
141	1.820303908
142	1.809368547
143	1.801209208
144	1.795590001
145	1.780764732
146	1.769667269
147	1.757819571
148	1.752914704
149	1.748613197
150	1.739486661
151	1.735222889
152	1.728722154
153	1.714278128
154	1.704558984
155	1.701458563
156	1.697576011
157	1.682930563
158	1.678737772
159	1.67518051
160	1.668853675
161	1.665100974
162	1.655625657
163	1.651497082
164	1.64545174
165	1.643035703
166	1.638704446
167	1.634060399
168	1.630903727
169	1.621899477
170	1.615864637
171	1.61086554
172	1.606477741
173	1.603808031
174	1.599275413
175	1.589950423
176	1.586453544
177	1.575376265
178	1.565693261
179	1.563141297
180	1.559646044
181	1.557104907
182	1.554465084
183	1.552552287
184	1.549643646
185	1.546408501
186	1.537507281
187	1.534669858
188	1.525226247
189	1.521969437
190	1.510424485
191	1.508342077
192	1.505719995
193	1.504031458
194	1.502098116
195	1.491317448
196	1.482809877
197	1.479224727
198	1.47139578
199	1.464942657
200	1.459453312
201	1.457792521
202	1.456180178
203	1.452819221
204	1.450076702
205	1.448581747
206	1.447094028
207	1.445445393
208	1.438690644
209	1.435123401
210	1.432060449
211	1.423695457
212	1.422002099
213	1.41905182
214	1.412379694
215	1.403737097
216	1.402443049
217	1.401125067
218	1.393344913
219	1.391987603
220	1.390828553
221	1.389535049
222	1.387350411
223	1.378559289
224	1.370354446
225	1.361515376
226	1.359949234
227	1.352252104
228	1.35019276
229	1.349059212
230	1.343131978
231	1.342092635
232	1.335913168
233	1.334629101
234	1.327205311
235	1.325094631
236	1.323747169
237	1.31737506
238	1.315160756
239	1.313241996
240	1.305890729
241	1.304615544
242	1.302638094
243	1.301260587
244	1.300066079
245	1.293533774
246	1.291733251
247	1.287174197
248	1.286007333
249	1.284276708
250	1.28246549
251	1.279867737
252	1.274680963
253	1.268491515
254	1.262349306
255	1.260534457
256	1.258889329
257	1.25424501
258	1.253189664
259	1.247263236
260	1.246309343
261	1.242976847
262	1.238295943
263	1.235936867
264	1.235038782
265	1.229527248
266	1.228173945
267	1.223603512
268	1.22208668
269	1.217526734
270	1.216250599
271	1.214935457
272	1.213625636
273	1.212377557
274	1.207261155
275	1.20233919
276	1.199331096
277	1.194300538
278	1.189905919
279	1.189103158
280	1.184529211
281	1.179652049
282	1.178481633
283	1.173988805
284	1.173118623
285	1.168645
286	1.167528379
287	1.166465462
288	1.161582466
289	1.157438649
290	1.15324583
291	1.147626092
292	1.14668127
293	1.145688814
294	1.145030656
295	1.14075137
296	1.14001272
297	1.136286365
298	1.135425408
299	1.131315213
300	1.130731252
301	1.126693651
302	1.122490565
303	1.121934275
304	1.121195991
305	1.118631995
306	1.118094346
307	1.117625347
308	1.117031861
309	1.11644737
310	1.112511684
311	1.111823968
312	1.107834021
313	1.103840654
314	1.098488918
315	1.095244073
316	1.094757034
317	1.090982156
318	1.090534645
319	1.087171365
320	1.084173659
321	1.080249352
322	1.079803709
323	1.077867326
324	1.075082457
325	1.071198013
326	1.067782168
327	1.064613617
328	1.060516415
329	1.057894873
330	1.057506135
331	1.052981704
332	1.049849701
333	1.047362502
334	1.043859711
335	1.042736558
336	1.039177144
337	1.03545941
338	1.03248226
339	1.031402847
340	1.028547626
341	1.024420489
342	1.020581558
343	1.017987421
344	1.014983747
345	1.012094886
346	1.0099363
347	1.00798692
348	1.004838201
349	1.002577377
350	0.9989388424
351	0.9962600678
352	0.9933557748
353	0.9904955073
354	0.9889803816
355	0.9852205048
356	0.9822741141
357	0.9785662905
358	0.9763833427
359	0.9746775172
360	0.9720772478
361	0.9692790004
362	0.9679105142
